ID,Marital status,Course,Daytime/evening attendance,Educational special needs,Debtor,Gender,Scholarship holder,International,Target
1,1,2,1,0,0,1,0,0,Dropout
2,1,11,1,0,0,1,0,0,Graduate
3,1,5,1,0,0,1,0,0,Dropout
4,1,15,1,0,0,0,0,0,Graduate
5,2,3,0,0,0,0,0,0,Graduate
6,2,17,0,0,1,1,0,0,Graduate
7,1,12,1,0,0,0,1,0,Graduate
8,1,11,1,0,0,1,0,0,Dropout
9,1,10,1,0,0,0,1,1,Graduate
10,1,10,1,0,1,0,0,0,Dropout
11,1,14,1,0,0,0,0,0,Graduate
12,1,12,1,0,0,0,1,0,Graduate
13,1,16,1,0,0,0,0,0,Dropout
14,1,11,1,0,0,0,1,0,Graduate
15,1,6,1,0,0,0,1,0,Graduate
16,1,15,1,0,0,0,0,0,Dropout
17,1,10,1,0,0,0,0,0,Enrolled
18,1,12,1,0,0,0,0,0,Graduate
19,1,8,1,0,0,0,0,0,Graduate
20,1,16,1,0,0,0,0,0,Enrolled
21,1,2,1,0,0,0,1,0,Graduate
22,1,13,1,0,0,0,0,0,Enrolled
23,1,12,1,0,0,0,0,0,Graduate
24,1,14,1,0,0,0,1,0,Graduate
25,1,12,1,0,0,0,0,0,Graduate
26,1,10,1,0,1,0,1,0,Enrolled
27,1,10,1,0,0,0,0,0,Graduate
28,1,6,1,0,0,0,0,0,Enrolled
29,1,9,1,0,0,0,0,0,Graduate
30,1,12,1,0,0,1,0,0,Enrolled
31,1,4,1,0,0,1,0,0,Enrolled
32,1,5,1,0,0,1,0,0,Graduate
33,1,9,1,0,0,1,0,0,Enrolled
34,1,3,0,0,0,0,0,0,Graduate
35,1,17,0,0,0,1,0,0,Graduate
36,1,1,1,0,1,1,0,0,Dropout
37,1,7,1,0,0,1,0,0,Dropout
38,1,9,1,0,0,0,0,0,Dropout
39,4,17,0,0,0,0,0,0,Graduate
40,1,8,1,0,1,0,0,1,Dropout
41,1,15,1,0,1,0,0,0,Dropout
42,1,9,1,0,0,0,0,0,Graduate
43,1,12,1,1,0,0,0,0,Graduate
44,1,15,1,0,0,0,0,0,Dropout
45,1,17,0,0,0,0,0,0,Dropout
46,1,17,0,0,0,0,0,0,Enrolled
47,1,10,1,0,0,0,0,0,Graduate
48,1,12,1,0,0,0,1,0,Graduate
49,1,3,0,0,0,0,1,0,Graduate
50,1,10,1,0,0,0,1,0,Graduate
51,1,11,1,0,0,0,1,0,Graduate
52,1,12,1,0,0,0,1,0,Enrolled
53,1,15,1,0,0,0,1,0,Enrolled
54,1,8,1,0,0,0,0,0,Graduate
55,1,17,0,0,0,0,0,0,Dropout
56,1,12,1,0,0,0,0,0,Graduate
57,2,11,1,0,0,0,0,0,Dropout
58,1,8,1,0,0,0,0,0,Dropout
59,1,12,1,0,0,0,0,0,Graduate
60,1,2,1,0,0,0,0,0,Enrolled
61,1,12,1,0,0,0,0,0,Graduate
62,1,10,1,0,0,0,1,0,Graduate
63,1,2,1,0,0,1,1,0,Enrolled
64,1,5,1,0,0,1,0,0,Enrolled
65,1,5,1,0,0,1,0,0,Enrolled
66,4,12,1,0,0,1,0,0,Dropout
67,1,2,1,0,0,1,1,0,Graduate
68,1,4,1,0,0,1,0,0,Graduate
69,1,9,1,0,1,1,0,0,Dropout
70,1,11,1,0,0,1,0,0,Enrolled
71,1,9,1,0,0,1,0,0,Enrolled
72,1,12,1,0,0,1,0,0,Graduate
73,1,2,1,0,0,1,0,0,Dropout
74,1,11,1,0,0,1,0,0,Dropout
75,1,15,1,0,0,1,0,0,Graduate
76,1,9,1,0,1,1,0,0,Dropout
77,1,11,1,0,0,1,1,0,Dropout
78,1,15,1,0,1,1,1,0,Graduate
79,1,12,1,0,0,1,1,0,Graduate
80,2,3,0,0,0,1,0,0,Graduate
81,1,16,1,0,0,1,0,0,Dropout
82,1,17,0,0,0,1,0,0,Dropout
83,1,4,1,0,1,1,0,0,Dropout
84,1,11,1,0,0,1,0,0,Enrolled
85,2,3,0,0,0,0,0,0,Graduate
86,1,12,1,0,0,0,1,0,Graduate
87,1,14,1,0,0,0,1,0,Graduate
88,1,5,1,0,0,1,0,0,Graduate
89,1,9,1,0,0,1,0,0,Enrolled
90,1,7,1,0,1,1,0,0,Enrolled
91,1,12,1,0,0,1,0,0,Dropout
92,1,15,1,0,0,0,0,1,Graduate
93,1,8,1,0,0,0,0,1,Dropout
94,2,16,1,0,0,0,0,0,Dropout
95,2,3,0,0,0,0,0,0,Graduate
96,1,7,1,0,0,1,0,1,Enrolled
97,1,15,1,0,0,0,0,0,Graduate
98,1,12,1,0,0,0,1,0,Graduate
99,1,6,1,0,0,0,0,0,Enrolled
100,1,12,1,0,1,0,0,0,Dropout
101,1,6,1,0,0,0,0,0,Dropout
102,1,2,1,0,0,0,0,0,Graduate
103,2,3,0,0,0,0,0,0,Dropout
104,4,4,1,0,0,0,0,0,Graduate
105,1,16,1,0,0,0,0,0,Dropout
106,1,5,1,0,1,0,0,0,Graduate
107,1,10,1,0,0,0,0,0,Dropout
108,1,6,1,0,0,0,0,0,Dropout
109,1,12,1,0,0,0,0,0,Dropout
110,1,16,1,0,0,0,0,0,Enrolled
111,1,10,1,0,0,0,0,0,Graduate
112,1,9,1,0,0,0,1,0,Enrolled
113,1,6,1,0,0,0,0,0,Graduate
114,1,15,1,0,0,0,0,0,Graduate
115,1,12,1,0,0,0,0,0,Dropout
116,1,12,1,0,0,0,0,0,Enrolled
117,1,10,1,0,0,0,1,0,Enrolled
118,1,9,1,0,0,0,0,0,Enrolled
119,1,6,1,0,0,0,0,0,Graduate
120,1,9,1,0,0,0,0,0,Graduate
121,1,11,1,0,0,0,0,0,Dropout
122,1,9,1,0,0,0,0,0,Graduate
123,1,2,1,0,0,0,0,0,Dropout
124,1,14,1,0,0,0,1,0,Graduate
125,1,6,1,0,0,0,0,0,Graduate
126,1,13,1,0,0,0,0,0,Dropout
127,1,6,1,0,0,0,0,0,Graduate
128,1,16,1,0,0,0,1,0,Enrolled
129,1,10,1,0,0,0,0,0,Graduate
130,1,12,1,0,0,0,0,0,Graduate
131,1,12,1,0,0,0,1,0,Dropout
132,1,5,1,0,0,0,0,0,Graduate
133,1,9,1,0,0,0,0,0,Graduate
134,1,12,1,0,0,0,0,0,Dropout
135,1,10,1,0,0,0,0,0,Graduate
136,1,14,1,0,1,0,1,0,Dropout
137,1,14,1,0,0,0,0,0,Graduate
138,1,15,1,0,1,0,1,0,Graduate
139,1,12,1,0,0,0,1,0,Enrolled
140,1,12,1,0,0,0,0,0,Graduate
141,1,12,1,0,0,0,0,0,Graduate
142,1,15,1,0,0,0,1,0,Graduate
143,1,9,1,0,1,0,0,0,Enrolled
144,1,10,1,0,0,0,1,0,Graduate
145,1,12,1,0,0,0,1,0,Graduate
146,1,16,1,0,0,0,1,0,Graduate
147,1,11,1,0,0,0,0,0,Dropout
148,1,11,1,0,0,0,0,0,Dropout
149,1,9,1,0,0,0,0,0,Graduate
150,1,12,1,0,0,0,1,0,Graduate
151,1,2,1,0,0,0,0,0,Enrolled
152,1,6,1,0,0,0,0,0,Graduate
153,1,16,1,0,0,0,0,0,Enrolled
154,1,16,1,0,0,0,0,0,Graduate
155,1,16,1,0,0,0,0,0,Dropout
156,1,16,1,0,0,0,0,0,Dropout
157,1,9,1,0,0,0,1,0,Graduate
158,1,10,1,0,0,0,1,0,Graduate
159,1,10,1,0,0,0,0,0,Graduate
160,1,3,0,0,0,0,1,0,Graduate
161,1,14,1,0,0,0,0,0,Dropout
162,1,12,1,0,0,0,1,0,Graduate
163,1,12,1,0,0,0,0,0,Graduate
164,1,16,1,0,0,0,0,0,Dropout
165,1,14,1,0,0,0,0,0,Graduate
166,1,15,1,0,0,0,1,0,Graduate
167,3,4,1,0,1,0,0,0,Enrolled
168,1,10,1,0,0,0,0,0,Graduate
169,1,12,1,0,0,0,0,0,Graduate
170,1,10,1,0,0,0,0,0,Dropout
171,1,6,1,0,0,0,0,0,Enrolled
172,1,13,1,0,0,0,0,0,Graduate
173,1,12,1,0,0,0,0,0,Graduate
174,1,3,0,0,0,0,0,0,Graduate
175,1,11,1,0,1,0,0,0,Dropout
176,1,14,1,0,0,0,1,0,Enrolled
177,1,16,1,0,0,0,0,0,Graduate
178,1,12,1,0,0,0,0,0,Dropout
179,1,16,1,0,0,0,0,0,Dropout
180,1,12,1,0,0,0,0,0,Dropout
181,1,16,1,0,0,0,0,0,Graduate
182,1,17,0,0,0,0,1,0,Enrolled
183,1,15,1,0,1,0,0,0,Dropout
184,1,5,1,0,0,0,0,0,Dropout
185,1,11,1,0,0,0,0,0,Dropout
186,1,9,1,0,1,0,0,0,Dropout
187,1,10,1,0,1,0,0,0,Enrolled
188,1,12,1,0,0,0,1,0,Graduate
189,1,6,1,0,0,0,0,0,Dropout
190,1,5,1,0,0,0,0,0,Graduate
191,1,11,1,0,0,0,1,0,Graduate
192,1,3,0,0,0,0,0,0,Enrolled
193,1,9,1,0,0,0,0,0,Dropout
194,1,16,1,0,0,0,0,0,Dropout
195,1,12,1,0,0,0,0,0,Graduate
196,1,17,0,0,0,0,0,0,Dropout
197,1,12,1,0,0,0,0,0,Graduate
198,1,7,1,0,0,0,0,0,Dropout
199,1,16,1,0,0,0,0,0,Graduate
200,1,12,1,0,0,0,0,0,Enrolled
201,1,6,1,0,0,0,0,0,Graduate
202,1,10,1,0,0,0,0,0,Graduate
203,1,12,1,0,0,0,0,0,Graduate
204,1,10,1,0,1,0,0,0,Graduate
205,1,10,1,0,0,0,1,0,Graduate
206,1,10,1,0,0,0,0,0,Graduate
207,1,12,1,0,0,0,0,0,Graduate
208,1,15,1,0,0,0,1,0,Graduate
209,1,6,1,0,0,0,0,0,Graduate
210,1,11,1,0,0,0,1,0,Dropout
211,1,12,1,0,0,0,1,0,Graduate
212,1,12,1,0,0,0,1,0,Graduate
213,1,8,1,0,0,0,1,0,Graduate
214,1,17,0,0,0,0,1,0,Dropout
215,1,15,1,0,0,0,0,0,Graduate
216,1,13,1,0,0,0,0,0,Enrolled
217,1,9,1,0,0,0,1,0,Graduate
218,1,3,0,0,0,0,0,0,Dropout
219,1,3,0,0,0,0,1,0,Dropout
220,1,6,1,0,0,0,0,0,Dropout
221,1,9,1,0,0,0,1,0,Graduate
222,2,16,1,1,0,0,1,0,Graduate
223,1,11,1,0,0,0,0,0,Dropout
224,1,12,1,0,0,0,1,0,Graduate
225,1,12,1,0,0,0,1,0,Graduate
226,2,17,0,0,0,0,0,0,Graduate
227,2,9,1,0,0,0,0,0,Graduate
228,1,10,1,0,0,0,1,0,Graduate
229,1,14,1,0,0,0,0,0,Dropout
230,1,12,1,0,0,0,1,0,Graduate
231,1,11,1,0,0,0,0,0,Graduate
232,1,11,1,0,0,0,0,0,Dropout
233,1,14,1,0,0,0,0,0,Graduate
234,1,11,1,0,0,0,1,0,Graduate
235,1,9,1,0,0,0,0,0,Dropout
236,1,10,1,0,0,0,1,0,Graduate
237,1,16,1,0,0,0,1,0,Graduate
238,1,10,1,1,0,0,1,0,Graduate
239,1,8,1,0,0,0,0,0,Dropout
240,1,6,1,0,1,0,0,0,Dropout
241,1,12,1,0,0,0,0,0,Enrolled
242,1,2,1,0,0,0,0,0,Enrolled
243,1,9,1,0,0,0,1,0,Graduate
244,1,9,1,0,0,0,0,0,Dropout
245,1,9,1,0,0,0,1,0,Graduate
246,1,12,1,0,0,0,0,0,Graduate
247,1,12,1,0,0,0,1,0,Graduate
248,1,4,1,0,1,0,0,0,Dropout
249,1,11,1,0,0,0,0,0,Graduate
250,1,14,1,0,0,0,1,0,Graduate
251,1,5,1,0,0,0,0,0,Enrolled
252,1,15,1,0,0,0,1,0,Dropout
253,1,6,1,0,0,0,0,0,Graduate
254,1,15,1,0,0,0,0,0,Enrolled
255,1,9,1,0,0,0,0,0,Graduate
256,2,13,1,0,1,0,1,0,Dropout
257,1,17,0,0,0,0,0,0,Graduate
258,1,5,1,0,0,0,0,0,Enrolled
259,1,10,1,0,0,0,1,0,Graduate
260,1,10,1,0,1,0,0,0,Dropout
261,1,11,1,0,0,0,1,0,Graduate
262,1,3,0,0,0,0,0,0,Dropout
263,1,7,1,0,1,0,0,0,Dropout
264,1,10,1,0,0,0,0,0,Graduate
265,1,10,1,0,0,0,0,0,Graduate
266,1,15,1,0,0,0,0,0,Graduate
267,1,12,1,0,0,0,0,0,Graduate
268,1,15,1,0,0,0,1,0,Graduate
269,1,5,1,0,0,0,1,0,Graduate
270,1,12,1,0,0,0,1,0,Graduate
271,1,4,1,0,0,0,1,0,Graduate
272,1,9,1,0,0,0,0,0,Dropout
273,1,9,1,0,0,0,0,0,Graduate
274,1,12,1,0,0,0,0,0,Graduate
275,1,10,1,0,0,0,0,0,Graduate
276,1,12,1,0,0,0,0,0,Graduate
277,1,16,1,0,0,0,0,0,Dropout
278,2,8,1,0,1,0,0,0,Dropout
279,1,12,1,0,0,0,1,0,Enrolled
280,1,12,1,0,0,0,1,0,Graduate
281,1,9,1,0,0,0,1,0,Graduate
282,4,3,0,0,0,0,1,0,Graduate
283,2,17,0,0,0,0,0,0,Graduate
284,1,5,1,0,0,0,1,0,Graduate
285,1,3,0,0,0,0,0,0,Graduate
286,2,15,1,0,0,0,0,0,Graduate
287,1,5,1,0,0,0,0,0,Enrolled
288,1,3,0,0,0,0,0,0,Graduate
289,1,3,0,0,0,0,1,0,Graduate
290,1,12,1,0,0,0,0,0,Graduate
291,1,6,1,0,0,0,0,0,Graduate
292,1,4,1,0,1,0,1,0,Graduate
293,1,4,1,0,0,0,0,0,Enrolled
294,1,10,1,0,0,0,1,0,Graduate
295,1,5,1,0,0,0,1,0,Dropout
296,2,12,1,0,0,0,1,0,Graduate
297,1,15,1,0,0,0,1,0,Graduate
298,1,10,1,0,0,0,0,0,Graduate
299,1,13,1,0,0,0,0,0,Graduate
300,1,12,1,0,0,0,0,0,Graduate
301,1,14,1,0,0,0,0,0,Graduate
302,1,6,1,0,0,0,1,0,Graduate
303,1,12,1,0,0,0,1,0,Graduate
304,1,14,1,0,1,0,0,0,Dropout
305,1,10,1,0,0,0,0,0,Dropout
306,1,14,1,0,0,0,0,0,Enrolled
307,1,14,1,0,0,0,0,0,Graduate
308,1,8,1,0,0,0,0,0,Dropout
309,1,6,1,0,0,0,0,0,Graduate
310,1,8,1,0,1,0,0,0,Dropout
311,1,10,1,0,1,0,0,0,Graduate
312,1,16,1,0,0,0,0,0,Dropout
313,1,9,1,0,0,0,1,0,Graduate
314,1,16,1,0,0,0,1,0,Graduate
315,1,9,1,0,0,0,0,0,Dropout
316,1,9,1,0,0,0,0,0,Graduate
317,1,12,1,0,0,0,1,0,Graduate
318,1,12,1,0,0,0,0,0,Graduate
319,1,10,1,0,0,0,1,0,Graduate
320,1,12,1,0,0,0,0,0,Enrolled
321,1,6,1,0,1,0,0,0,Dropout
322,1,12,1,0,0,0,1,0,Graduate
323,1,12,1,0,0,0,0,0,Graduate
324,1,9,1,0,0,0,0,0,Graduate
325,1,6,1,0,0,0,0,0,Enrolled
326,1,11,1,0,0,0,0,0,Graduate
327,1,12,1,0,0,0,0,0,Graduate
328,1,10,1,0,1,0,0,0,Graduate
329,1,16,1,0,0,0,0,0,Enrolled
330,1,6,1,0,0,0,0,0,Enrolled
331,1,16,1,0,0,0,0,0,Enrolled
332,1,7,1,0,1,0,0,0,Dropout
333,1,10,1,0,0,0,0,0,Graduate
334,1,3,0,0,0,0,0,0,Graduate
335,1,10,1,0,0,0,1,0,Graduate
336,1,10,1,0,0,0,0,0,Graduate
337,1,16,1,0,1,0,0,0,Graduate
338,1,12,1,0,0,0,1,0,Graduate
339,1,10,1,0,0,0,0,0,Graduate
340,1,8,1,0,0,0,0,0,Graduate
341,1,6,1,0,0,0,0,0,Enrolled
342,1,2,1,0,0,0,0,0,Dropout
343,2,3,0,0,0,0,0,0,Graduate
344,1,4,1,0,0,0,0,0,Graduate
345,1,9,1,0,0,0,0,0,Enrolled
346,1,15,1,0,0,0,0,0,Graduate
347,1,10,1,0,0,0,0,0,Enrolled
348,4,17,0,0,0,0,0,0,Graduate
349,2,10,1,0,0,0,0,0,Graduate
350,1,3,0,0,0,0,0,0,Enrolled
351,1,11,1,0,0,0,0,0,Dropout
352,1,15,1,0,0,0,1,0,Graduate
353,1,2,1,0,0,0,0,0,Dropout
354,2,12,1,0,1,0,1,0,Graduate
355,1,11,1,0,1,0,0,0,Dropout
356,1,6,1,0,0,0,0,0,Graduate
357,1,12,1,0,0,0,0,0,Graduate
358,1,17,0,0,0,0,0,0,Dropout
359,1,4,1,0,1,0,1,0,Enrolled
360,1,6,1,0,0,0,0,0,Dropout
361,1,16,1,0,0,0,0,0,Graduate
362,1,15,1,0,1,0,0,0,Dropout
363,1,9,1,0,0,0,0,0,Enrolled
364,1,6,1,0,0,0,1,0,Graduate
365,1,12,1,0,0,0,0,0,Enrolled
366,1,6,1,0,0,0,1,0,Graduate
367,1,12,1,0,0,0,1,0,Graduate
368,1,6,1,0,0,0,0,0,Enrolled
369,1,16,1,0,0,0,1,0,Graduate
370,1,12,1,0,0,0,0,0,Dropout
371,2,3,0,0,0,0,0,0,Graduate
372,4,17,0,0,0,0,1,0,Enrolled
373,1,15,1,0,0,0,1,0,Graduate
374,4,17,0,0,0,0,0,0,Graduate
375,2,6,1,0,0,0,0,0,Dropout
376,2,3,0,0,1,0,0,0,Enrolled
377,1,9,1,0,0,0,0,0,Dropout
378,1,12,1,0,0,0,1,0,Graduate
379,1,16,1,0,0,0,1,0,Enrolled
380,1,6,1,0,0,0,0,0,Enrolled
381,4,12,1,0,0,0,1,0,Dropout
382,1,12,1,0,0,0,0,0,Enrolled
383,1,10,1,0,0,0,0,0,Enrolled
384,1,16,1,0,0,0,1,0,Graduate
385,1,9,1,0,0,0,0,0,Graduate
386,1,10,1,0,0,0,0,0,Graduate
387,1,16,1,0,0,0,0,0,Graduate
388,1,17,0,0,0,0,0,0,Graduate
389,1,16,1,0,0,0,0,0,Enrolled
390,1,3,0,0,0,0,1,0,Graduate
391,1,6,1,0,0,0,0,0,Enrolled
392,1,12,1,1,0,0,0,0,Enrolled
393,1,15,1,0,1,0,0,0,Dropout
394,1,6,1,0,0,0,0,0,Dropout
395,1,6,1,0,0,0,0,0,Graduate
396,1,12,1,0,0,0,1,0,Graduate
397,1,10,1,0,0,0,0,0,Graduate
398,1,6,1,0,0,0,1,0,Graduate
399,1,14,1,0,1,0,0,0,Dropout
400,1,9,1,0,0,0,0,0,Dropout
401,1,5,1,0,0,0,1,0,Enrolled
402,1,11,1,0,0,0,0,0,Enrolled
403,1,15,1,1,0,0,0,0,Enrolled
404,1,11,1,0,0,0,0,0,Enrolled
405,1,12,1,0,0,0,0,0,Graduate
406,1,2,1,0,0,0,0,0,Graduate
407,1,5,1,0,0,0,0,0,Graduate
408,1,17,0,0,0,0,0,0,Graduate
409,1,10,1,0,0,0,0,0,Graduate
410,4,6,1,0,0,0,0,0,Dropout
411,1,12,1,0,0,0,1,0,Graduate
412,1,12,1,0,0,0,0,0,Graduate
413,1,12,1,0,0,0,0,0,Graduate
414,1,17,0,0,0,0,0,0,Graduate
415,1,10,1,0,0,0,1,0,Graduate
416,1,6,1,0,0,0,0,0,Graduate
417,1,6,1,0,0,0,0,0,Graduate
418,1,16,1,0,0,0,0,0,Dropout
419,1,12,1,0,0,0,1,0,Graduate
420,1,12,1,0,0,0,0,0,Dropout
421,1,12,1,0,0,0,1,0,Graduate
422,1,17,0,0,0,0,0,0,Graduate
423,1,6,1,0,0,0,0,0,Dropout
424,1,12,1,0,0,0,0,0,Graduate
425,1,13,1,0,0,0,0,0,Graduate
426,1,12,1,0,0,0,0,0,Graduate
427,1,14,1,0,0,0,0,0,Graduate
428,1,9,1,0,0,0,0,0,Enrolled
429,3,6,1,0,0,0,0,0,Dropout
430,1,14,1,0,0,0,0,0,Graduate
431,1,12,1,0,0,0,1,0,Graduate
432,1,3,0,0,0,0,1,0,Graduate
433,1,9,1,0,0,0,1,0,Graduate
434,1,12,1,0,0,0,1,0,Dropout
435,1,15,1,0,0,0,0,0,Graduate
436,1,12,1,0,0,0,1,0,Graduate
437,1,11,1,0,0,0,1,0,Enrolled
438,1,14,1,0,0,0,1,0,Graduate
439,1,14,1,0,0,0,0,0,Dropout
440,2,12,1,0,0,0,0,0,Graduate
441,1,13,1,0,0,0,0,0,Enrolled
442,1,8,1,0,1,0,0,0,Enrolled
443,1,12,1,0,0,0,0,0,Graduate
444,1,12,1,0,0,0,1,0,Graduate
445,1,14,1,0,0,0,0,0,Graduate
446,1,10,1,0,0,0,1,0,Graduate
447,1,12,1,0,0,0,1,0,Graduate
448,1,12,1,0,0,0,0,0,Dropout
449,1,15,1,0,0,0,0,0,Graduate
450,1,11,1,0,0,0,1,0,Enrolled
451,1,12,1,0,0,0,0,0,Graduate
452,1,12,1,0,0,0,1,0,Graduate
453,1,12,1,0,0,0,0,0,Graduate
454,1,6,1,0,0,0,0,0,Graduate
455,1,9,1,0,0,0,0,0,Enrolled
456,2,3,0,0,0,0,0,0,Graduate
457,1,4,1,0,0,0,0,0,Dropout
458,1,16,1,0,0,0,0,0,Dropout
459,2,4,1,0,0,0,0,0,Graduate
460,1,15,1,0,0,0,1,0,Graduate
461,1,8,1,0,0,0,0,0,Graduate
462,1,5,1,0,0,0,1,0,Graduate
463,1,10,1,0,0,0,0,0,Graduate
464,1,9,1,0,1,0,0,0,Graduate
465,1,10,1,0,0,0,0,0,Enrolled
466,1,3,0,0,0,0,0,0,Dropout
467,1,16,1,0,0,0,0,0,Enrolled
468,1,10,1,0,0,0,1,0,Graduate
469,1,12,1,0,0,0,1,0,Graduate
470,1,10,1,0,0,0,1,0,Graduate
471,1,12,1,0,0,0,1,0,Graduate
472,1,11,1,0,0,0,1,0,Graduate
473,1,14,1,0,0,0,0,0,Dropout
474,1,12,1,0,0,0,0,0,Graduate
475,1,11,1,0,0,0,0,0,Dropout
476,1,14,1,0,0,0,0,0,Graduate
477,1,13,1,0,0,0,0,0,Dropout
478,1,12,1,0,0,0,0,0,Dropout
479,1,12,1,1,0,0,0,0,Graduate
480,1,10,1,0,0,0,1,0,Enrolled
481,1,12,1,0,0,0,0,0,Graduate
482,1,12,1,0,0,0,1,0,Graduate
483,1,12,1,0,0,0,0,0,Dropout
484,1,6,1,0,0,0,0,0,Enrolled
485,1,12,1,0,0,0,1,0,Graduate
486,1,16,1,0,0,0,1,0,Graduate
487,1,14,1,0,0,0,0,0,Dropout
488,1,14,1,0,0,0,0,0,Dropout
489,1,12,1,0,0,0,1,0,Graduate
490,1,12,1,0,0,0,1,0,Graduate
491,1,5,1,0,0,0,0,0,Graduate
492,1,14,1,0,0,0,0,0,Graduate
493,1,12,1,0,0,0,0,0,Graduate
494,1,6,1,0,1,0,0,0,Enrolled
495,1,16,1,1,0,0,0,0,Enrolled
496,1,8,1,0,1,0,0,0,Dropout
497,1,13,1,0,0,0,0,0,Dropout
498,1,11,1,0,0,0,0,0,Graduate
499,1,5,1,0,0,0,0,0,Graduate
500,1,12,1,0,0,0,0,0,Graduate
